"id","label","location","sentiment_score","followers_count"
"x1255545886345777157","pi_boul","France",4,227
"x525708783","AbFaboulous","France",4,249
"x2167604413","bonrevons","France",4,296
"x1194347492147679235","alainde96544302","France",13,302
"x1152522283656843264","hafid2O2","France",4,326
"x753609260974637056","MartindeChamp","France",4,329
"x95190196","Photogratte","France",4,361
"x3983125007","Cheap_Sandwich","France",4,384
"x1001012055988719616","Vincent_Cotugno","France",4,474
"x1288921609231900672","Verite2022","France",7,588
"x469180343","oceankoto","France",10,608
"x1111026616120025088","claude_le_moal","France",7,663
"x1349419263275233286","AlphaNews_FR","France",4,710
"x76328681","GillesDauxerre","France",7,1900
"x1438378508","LaNabote","France",4,2284
"x467318410","gmelody1","France",4,3109
"x493170552","Nandilaure","France",4,3401
"x379410773","doclamarre","France",4,5536
"x2369361330","momotchiii","France",17,14513
"x1578782359","Mediasinfos","France",4,18770
"x806445400639111168","XavierMauduit","France",4,18945
"x776021935771807744","CedricMas","France",4,20713
"x765957157175058432","24hPujadas","France",4,26899
"x3306815273","RevPermanente","France",4,34244
"x15658101","SudRadio","France",10,54434
"x96090970","PCF","France",4,55214
"x8350912","Le_Figaro","France",4,3371037
"x1349366487891501057","Qui_dit_Vrai","France",3,2
"x889241500047069189","ben_quick777","France",3,2
"x1163410898775629825","LiveKlen","France",3,3
"x1359663550957039620","Stphani77858269","France",6,24
"x912604899141197825","sandrine_rachez","France",3,8
"x1315355920457760768","FriedrichKohl1","France",3,16
"x747702988714704896","SackripanT","France",3,19
"x557208691","docnono2000","France",3,23
"x1247647964652359680","MgnChris","France",3,25
"x1305062201477271552","TitlapinP","France",3,29
"x1328842186847367169","Vince17_17","France",3,34
"x385476557","Leseinomarin1","France",3,36
"x844395785034838019","NavigateurP","France",3,36
"x1258017146","Rignault5","France",3,36
"x360523951","T_A_Anderson__","France",3,39
"x1185199423262986245","ADN46519922","France",3,39
"x1334537961527013378","gaetannice","France",3,49
"x1042394138992435200","GacheStella","France",3,55
"x1215153699728785409","obiterdictuum","France",3,55
